Frank-Hertz Experiment		
		
Vr(V)= 1.5		
Cathode Heater Current (mA) = 300		
		 
Va(V)_1	Ia(E-12 A)_1	T(c)_1
22.60	1.71	146.72
22.70	1.54	146.72
22.80	2.03	146.72
22.90	1.55	146.73
23.00	1.86	146.73
23.10	1.97	146.74
23.20	2.07	146.74
23.30	2.36	146.74
23.40	2.37	146.74
23.50	2.67	146.75
23.60	2.79	146.75
23.70	3.34	146.75
23.80	3.41	146.75
23.90	3.80	146.75
24.00	4.21	146.75
24.10	4.77	146.76
24.20	4.97	146.76
24.30	5.40	146.76
24.40	5.87	146.76
24.50	6.24	146.77
24.60	7.48	146.77
24.70	7.77	146.77
24.80	8.34	146.78
24.90	9.30	146.78
25.00	10.08	146.79
25.10	10.53	146.79
25.20	10.69	146.80
25.30	11.69	146.80
25.40	12.20	146.81
25.50	12.14	146.81
25.60	11.86	146.83
25.70	11.92	146.83
25.80	11.85	146.84
25.90	11.52	146.84
26.00	10.87	146.85
26.10	10.41	146.85
26.20	9.98	146.87
26.30	9.13	146.87
26.40	8.32	146.89
26.50	7.65	146.89
26.60	7.10	146.90
26.70	6.49	146.90
26.80	5.89	146.91
26.90	5.31	146.91
27.00	4.76	146.92
27.10	4.51	146.92
27.20	3.98	146.93
27.30	3.56	146.93
27.40	3.60	146.94
27.50	3.26	146.94
27.60	3.04	146.95
27.70	2.97	146.95
27.80	3.01	146.96
27.90	3.04	146.96
28.00	3.02	146.96
28.10	2.95	146.96
28.20	3.30	146.97
28.30	3.43	146.97
28.40	3.65	146.98
28.50	3.87	146.98
28.60	4.09	146.97
28.70	4.48	146.97
28.80	4.86	146.98
28.90	5.22	146.98
29.00	5.55	146.98
29.10	5.95	146.98
29.20	7.17	146.99
29.30	7.17	146.99
29.40	7.83	146.99
29.50	8.42	146.99
29.60	9.44	146.99
29.70	10.13	146.99
29.80	10.75	147.00
29.90	11.70	147.00
30.00	12.32	147.00
